dataset,model,tr_point,tr_band,tr_multi,tr_q75,n_folds
Ailerons,tabpfn,0.2375,0.2212,0.1953,0.4080,5
Allstate_Claims_Severity,tabpfn,0.2468,0.2161,0.1942,0.4083,5
Bike_Sharing_Demand,tabpfn,0.3336,0.3095,0.3062,0.5754,5
Brazilian_houses,tabpfn,0.4587,0.4191,0.3209,0.6765,5
MiamiHousing2016,tabpfn,0.3860,0.3322,0.2845,0.5916,5
abalone,tabpfn,0.3379,0.3164,0.3051,0.6183,5
airfoil_noise,tabpfn,0.3796,0.3628,0.3036,0.6165,5
analcatdata_supreme,tabpfn,0.9950,1.1207,0.6609,1.3036,5
california_housing,tabpfn,0.4840,0.4378,0.4050,0.7982,5
concrete_strength,tabpfn,0.3071,0.2699,0.2300,0.5009,5
cpu_act,tabpfn,0.4014,0.3711,0.3209,0.6194,5
diabetes,tabpfn,0.2910,0.2624,0.2528,0.5803,5
diamonds,tabpfn,0.3840,0.3384,0.3163,0.6317,5
elevators,tabpfn,0.4323,0.3921,0.3626,0.7111,5
energy_efficiency_heating,tabpfn,0.3181,0.2864,0.2595,0.5334,5
esol,tabpfn,0.3469,0.3127,0.2822,0.5689,5
feynman_gaussian,tabpfn,1.3515,1.1975,0.9958,1.7886,5
feynman_wave_interference,tabpfn,0.4005,0.3322,0.2944,0.5568,5
fiat_500_price,tabpfn,0.4144,0.3724,0.3148,0.6674,5
freesolv,tabpfn,0.2838,0.2438,0.2299,0.4755,5
friedman1,tabpfn,0.1784,0.1618,0.1506,0.3157,5
friedman1_d100,tabpfn,0.2034,0.1901,0.1783,0.3646,5
healthcare_insurance,tabpfn,0.3131,0.2993,0.2398,0.5028,5
house_16H,tabpfn,0.6911,0.6172,0.5375,1.0301,5
house_sales,tabpfn,0.3875,0.3401,0.3257,0.6561,5
lipophilicity,tabpfn,0.3597,0.3126,0.2653,0.5809,5
medical_charges,tabpfn,0.2272,0.2099,0.2107,0.4468,5
nyc-taxi-green-dec-2016,tabpfn,0.3898,0.3480,0.3307,0.6741,5
particulate-matter-ukair-2017,tabpfn,0.3550,0.3171,0.2677,0.5703,5
physiochemical_protein,tabpfn,0.5277,0.4988,0.4580,0.9150,5
pmlb_1028_SWD,tabpfn,0.2485,0.2254,0.1925,0.3962,5
pmlb_1029_LEV,tabpfn,0.4222,0.5091,0.3331,0.6611,5
pmlb_1030_ERA,tabpfn,0.4459,0.4513,0.3299,0.6749,5
pmlb_215_2dplanes,tabpfn,0.2620,0.2360,0.2054,0.4328,5
pmlb_218_house_8L,tabpfn,0.5574,0.5118,0.4959,0.9636,5
pmlb_225_puma8NH,tabpfn,0.2526,0.2177,0.2174,0.4429,5
pmlb_4544_GeographicalOriginalofMusic,tabpfn,0.2403,0.2231,0.2160,0.4243,5
pmlb_503_wind,tabpfn,0.2156,0.1915,0.1782,0.3609,5
pmlb_522_pm10,tabpfn,0.3120,0.2767,0.2467,0.5099,5
pmlb_529_pollen,tabpfn,0.1551,0.1335,0.1149,0.2645,5
pmlb_547_no2,tabpfn,0.2777,0.2538,0.2450,0.4922,5
pol,tabpfn,0.8830,0.8393,1.0881,1.8917,5
power_grid_stability,tabpfn,0.2581,0.2287,0.2202,0.4409,5
power_plant,tabpfn,0.4935,0.4394,0.3518,0.7171,5
qm7,tabpfn,0.3563,0.3181,0.2705,0.5842,5
qsar_fish_toxicity,tabpfn,0.3645,0.3248,0.2960,0.6116,5
qsar_tid_11,tabpfn,0.1901,0.1718,0.1593,0.3281,5
student_performance,tabpfn,0.1681,0.1507,0.1420,0.2928,5
sulfur,tabpfn,0.6072,0.5574,0.4160,0.8991,5
superconduct,tabpfn,0.6108,0.5740,0.5909,1.2318,5
synthetic_multithreshold,tabpfn,0.9839,0.8641,0.8444,1.4396,5
synthetic_piecewise,tabpfn,0.2345,0.2070,0.2057,0.3962,5
synthetic_step,tabpfn,1.0838,0.9700,1.2485,1.6881,5
wine_quality,tabpfn,0.3365,0.3069,0.2784,0.5797,5
